original_size,new_size,size_increase,accuracy,training_epochs
2000,3000.0,0.5,0.9437000155448914,30
3000,4500.0,0.5,0.9595999717712402,30
4000,6000.0,0.5,0.9656999707221984,30
5000,7500.0,0.5,0.9697999954223632,30
6000,9000.0,0.5,0.9747999906539916,30
7000,10500.0,0.5,0.9769999980926514,30
8000,12000.0,0.5,0.9771000146865844,30
9000,13500.0,0.5,0.9800000190734864,30
10000,15000.0,0.5,0.9796000123023988,30
1000,3000.0,2.0,0.9104999899864196,30
2000,6000.0,2.0,0.9477999806404114,30
3000,9000.0,2.0,0.9573000073432922,30
4000,12000.0,2.0,0.9634000062942504,30
5000,15000.0,2.0,0.9697999954223632,30
6000,18000.0,2.0,0.974399983882904,30
7000,21000.0,2.0,0.9765999913215636,30
8000,24000.0,2.0,0.9776999950408936,30
9000,27000.0,2.0,0.980400025844574,30
10000,30000.0,2.0,0.982699990272522,30
1000,1000.0,0.0,0.9207000136375428,30
2000,2000.0,0.0,0.9492999911308287,30
3000,3000.0,0.0,0.9606000185012816,30
4000,4000.0,0.0,0.9675999879837036,30
5000,5000.0,0.0,0.9710000157356262,30
6000,6000.0,0.0,0.9729999899864196,30
7000,7000.0,0.0,0.9753999710083008,30
8000,8000.0,0.0,0.9765999913215636,30
9000,9000.0,0.0,0.9789000153541564,30
10000,10000.0,0.0,0.9801999926567078,30
1000,1000.0,0.0,0.9171000123023987,30
2000,2000.0,0.0,0.9412000179290771,30
3000,3000.0,0.0,0.957099974155426,30
4000,4000.0,0.0,0.9625999927520752,30
5000,5000.0,0.0,0.9675999879837036,30
6000,6000.0,0.0,0.9739000201225281,30
7000,7000.0,0.0,0.9736999869346619,30
8000,8000.0,0.0,0.9758999943733215,30
9000,9000.0,0.0,0.9771999716758728,30
10000,10000.0,0.0,0.9793000221252441,30
